# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:38:48 2020
# diag: timetrace, run(s): 0029, time window: 0-1500(1592 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
#  t          Re[phi]     Im[phi]   
  3.0365E+02  3.4039E-02 -9.4425E-03
  3.0459E+02  3.4009E-02 -9.4550E-03
  3.0553E+02  3.3982E-02 -9.4674E-03
  3.0647E+02  3.3959E-02 -9.4798E-03
  3.0742E+02  3.3939E-02 -9.4921E-03
  3.0836E+02  3.3920E-02 -9.5043E-03
  3.0930E+02  3.3904E-02 -9.5163E-03
  3.1025E+02  3.3889E-02 -9.5283E-03
  3.1119E+02  3.3875E-02 -9.5402E-03
  3.1213E+02  3.3861E-02 -9.5519E-03
  3.1308E+02  3.3848E-02 -9.5636E-03
  3.1402E+02  3.3832E-02 -9.5750E-03
  3.1496E+02  3.3815E-02 -9.5863E-03
  3.1590E+02  3.3795E-02 -9.5974E-03
  3.1685E+02  3.3772E-02 -9.6083E-03
  3.1779E+02  3.3746E-02 -9.6191E-03
  3.1873E+02  3.3716E-02 -9.6296E-03
  3.1968E+02  3.3683E-02 -9.6400E-03
  3.2062E+02  3.3647E-02 -9.6502E-03
  3.2156E+02  3.3607E-02 -9.6603E-03
  3.2251E+02  3.3566E-02 -9.6703E-03
  3.2345E+02  3.3523E-02 -9.6802E-03
  3.2439E+02  3.3479E-02 -9.6900E-03
  3.2533E+02  3.3434E-02 -9.6998E-03
  3.2628E+02  3.3390E-02 -9.7096E-03
  3.2722E+02  3.3345E-02 -9.7194E-03
  3.2816E+02  3.3300E-02 -9.7292E-03
  3.2911E+02  3.3257E-02 -9.7390E-03
  3.3005E+02  3.3213E-02 -9.7489E-03
  3.3099E+02  3.3172E-02 -9.7589E-03
  3.3194E+02  3.3132E-02 -9.7689E-03
  3.3288E+02  3.3093E-02 -9.7790E-03
  3.3382E+02  3.3055E-02 -9.7891E-03
  3.3476E+02  3.3019E-02 -9.7993E-03
  3.3571E+02  3.2984E-02 -9.8095E-03
  3.3665E+02  3.2951E-02 -9.8198E-03
  3.3759E+02  3.2920E-02 -9.8300E-03
  3.3854E+02  3.2892E-02 -9.8402E-03
  3.3948E+02  3.2864E-02 -9.8504E-03
  3.4042E+02  3.2837E-02 -9.8606E-03
  3.4137E+02  3.2810E-02 -9.8707E-03
  3.4231E+02  3.2784E-02 -9.8808E-03
  3.4325E+02  3.2758E-02 -9.8909E-03
  3.4419E+02  3.2733E-02 -9.9008E-03
  3.4514E+02  3.2706E-02 -9.9107E-03
  3.4608E+02  3.2678E-02 -9.9205E-03
  3.4702E+02  3.2649E-02 -9.9303E-03
  3.4797E+02  3.2619E-02 -9.9399E-03
  3.4891E+02  3.2586E-02 -9.9495E-03
  3.4985E+02  3.2553E-02 -9.9589E-03
  3.5080E+02  3.2518E-02 -9.9682E-03
  3.5174E+02  3.2482E-02 -9.9774E-03
