# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:31:01 2020
# diag: gamdiag, run(s): 0025, time window: 0-1500(1543 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
# xind= 0, x/a= 0.5, q= -2.1464562
# Fit:    0.047481956,64.666712,-6.9492445
# Analytic (Gao, Zhou/Yu): 0.078523524,0.36211323,4.1062285
#  t          Re[phi]     Im[phi]   
  2.1990E+02  4.3501E-02 -6.6347E-03
  2.2087E+02  4.3508E-02 -6.6575E-03
  2.2184E+02  4.3496E-02 -6.6807E-03
  2.2282E+02  4.3495E-02 -6.7045E-03
  2.2379E+02  4.3518E-02 -6.7287E-03
  2.2476E+02  4.3550E-02 -6.7534E-03
  2.2574E+02  4.3565E-02 -6.7785E-03
  2.2671E+02  4.3550E-02 -6.8037E-03
  2.2768E+02  4.3522E-02 -6.8289E-03
  2.2865E+02  4.3506E-02 -6.8541E-03
  2.2963E+02  4.3512E-02 -6.8794E-03
  2.3060E+02  4.3530E-02 -6.9046E-03
  2.3157E+02  4.3538E-02 -6.9298E-03
  2.3255E+02  4.3522E-02 -6.9549E-03
  2.3352E+02  4.3489E-02 -6.9796E-03
  2.3449E+02  4.3453E-02 -7.0038E-03
  2.3547E+02  4.3427E-02 -7.0276E-03
  2.3644E+02  4.3410E-02 -7.0509E-03
  2.3741E+02  4.3396E-02 -7.0735E-03
  2.3838E+02  4.3374E-02 -7.0954E-03
  2.3936E+02  4.3342E-02 -7.1167E-03
  2.4033E+02  4.3299E-02 -7.1374E-03
  2.4130E+02  4.3253E-02 -7.1573E-03
  2.4228E+02  4.3214E-02 -7.1767E-03
  2.4325E+02  4.3191E-02 -7.1955E-03
  2.4422E+02  4.3183E-02 -7.2138E-03
  2.4520E+02  4.3182E-02 -7.2318E-03
  2.4617E+02  4.3176E-02 -7.2494E-03
  2.4714E+02  4.3158E-02 -7.2668E-03
  2.4811E+02  4.3129E-02 -7.2839E-03
  2.4909E+02  4.3098E-02 -7.3007E-03
  2.5006E+02  4.3075E-02 -7.3175E-03
  2.5103E+02  4.3057E-02 -7.3342E-03
  2.5201E+02  4.3033E-02 -7.3508E-03
